Iterations,Generation,Generation Average Fitness,Generation Best Fitness,Generation Worst Fitness,Population Size,Population Best Fitness
219,654,5126,12140,630,219,385
219,655,4940,10335,1490,219,385
219,656,5401,12155,2445,219,385
219,657,4401,10335,615,219,385
219,658,5124,10330,635,219,385
219,659,5678,12145,2440,219,385
219,660,5393,12160,1505,219,385
219,661,4854,10330,620,219,385
219,662,4208,10330,635,219,385
219,663,4941,12160,620,219,385
219,664,5673,10335,1495,219,385
219,665,4208,10335,615,219,385
219,666,5315,12150,620,219,385
219,667,4758,10335,2440,219,385
219,668,5298,12160,1490,219,385
219,669,4576,10335,1500,219,385
219,670,4853,10335,620,219,385
219,671,4853,10335,615,219,385
219,672,4855,10335,625,219,385
219,673,4845,10315,635,219,385
219,674,6509,12160,620,219,385
219,675,4843,12160,615,219,385
219,676,4671,10325,635,219,385
219,677,5316,10320,1510,219,385
219,678,5479,12160,1510,219,385
219,679,3016,5690,620,219,385
219,680,4577,10335,620,219,385
219,681,4661,12160,1500,219,385
219,682,5220,10335,635,219,385
219,683,4843,12140,635,219,385
219,684,4943,10335,1500,219,385
219,685,5228,10335,615,219,385
219,686,5414,12160,620,219,385
219,687,6778,12160,2455,219,385
219,688,5124,10335,635,219,385
219,689,5497,12155,635,219,385
219,690,5855,12160,1490,219,385
219,691,4576,10320,620,219,385
219,692,4201,10335,1495,219,385
219,693,6317,12140,615,219,385
219,694,6137,10330,2445,219,385
219,695,5125,10335,1510,219,385
219,696,4930,8510,1490,219,385
219,697,5134,12160,620,219,385
219,698,4758,10335,635,219,385
219,699,4293,7535,615,219,385
219,700,5675,10335,1490,219,385
219,701,4210,10325,630,219,385
219,702,4304,10335,615,219,385
219,703,5587,10335,635,219,385
219,704,5950,12160,635,219,385
219,705,5400,12160,1510,219,385
219,706,4565,10335,615,219,385
219,707,5039,10335,620,219,385
219,708,4113,8490,615,219,385
219,709,3574,10330,620,219,385
219,710,4488,12145,635,219,385
219,711,4663,10335,635,219,385
219,712,4112,10325,2455,219,385
219,713,4120,10325,630,219,385
219,714,4573,12160,620,219,385
219,715,4016,5710,2445,219,385
219,716,4025,12160,635,219,385
219,717,4105,8510,625,219,385
219,718,4573,12155,1510,219,385
219,719,6041,12160,620,219,385
219,720,5028,10330,2440,219,385
219,721,4745,7535,2440,219,385
219,722,4112,10320,635,219,385
